K00927	PGK,_pgk;_phosphoglycerate_kinase_[EC:2.7.2.3]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04147_Exosome_[BR:ko04147]
K01834	PGAM,_gpmA;_2,3-bisphosphoglycerate-dependent_phosphoglycerate_mutase_[EC:5.4.2.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00260_Glycine,_serine_and_threonine_metabolism_[PATH:ko00260]|00680_Methane_metabolism_[PATH:ko00680]|04131_Membrane_trafficking_[BR:ko04131]|04147_Exosome_[BR:ko04147]|04922_Glucagon_signaling_pathway_[PATH:ko04922]|05230_Central_carbon_metabolism_in_cancer_[PATH:ko05230]
K15634	gpmB;_2,3-bisphosphoglycerate-dependent_phosphoglycerate_mutase_[EC:5.4.2.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00260_Glycine,_serine_and_threonine_metabolism_[PATH:ko00260]|00680_Methane_metabolism_[PATH:ko00680]
K15633	gpmI;_2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase_[EC:5.4.2.12]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00260_Glycine,_serine_and_threonine_metabolism_[PATH:ko00260]|00680_Methane_metabolism_[PATH:ko00680]
K15635	apgM;_2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase_[EC:5.4.2.12]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00260_Glycine,_serine_and_threonine_metabolism_[PATH:ko00260]|00680_Methane_metabolism_[PATH:ko00680]
K01689	ENO,_eno;_enolase_[EC:4.2.1.11]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00680_Methane_metabolism_[PATH:ko00680]|03018_RNA_degradation_[PATH:ko03018]|03019_Messenger_RNA_biogenesis_[BR:ko03019]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04147_Exosome_[BR:ko04147]
K00873	PK,_pyk;_pyruvate_kinase_[EC:2.7.1.40]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00620_Pyruvate_metabolism_[PATH:ko00620]|04131_Membrane_trafficking_[BR:ko04131]|04147_Exosome_[BR:ko04147]|04922_Glucagon_signaling_pathway_[PATH:ko04922]|04930_Type_II_diabetes_mellitus_[PATH:ko04930]|05165_Human_papillomavirus_infection_[PATH:ko05165]|05203_Viral_carcinogenesis_[PATH:ko05203]|05230_Central_carbon_metabolism_in_cancer_[PATH:ko05230]
K12406	PKLR;_pyruvate_kinase_isozymes_R/L_[EC:2.7.1.40]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00620_Pyruvate_metabolism_[PATH:ko00620]|04147_Exosome_[BR:ko04147]|04910_Insulin_signaling_pathway_[PATH:ko04910]|04930_Type_II_diabetes_mellitus_[PATH:ko04930]|04932_Non-alcoholic_fatty_liver_disease_[PATH:ko04932]|04950_Maturity_onset_diabetes_of_the_young_[PATH:ko04950]
K01006	ppdK;_pyruvate,_orthophosphate_dikinase_[EC:2.7.9.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00620_Pyruvate_metabolism_[PATH:ko00620]|00710_Carbon_fixation_in_photosynthetic_organisms_[PATH:ko00710]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K01007	pps,_ppsA;_pyruvate,_water_dikinase_[EC:2.7.9.2]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00620_Pyruvate_metabolism_[PATH:ko00620]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
K00163	aceE;_pyruvate_dehydrogenase_E1_component_[EC:1.2.4.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00785_Lipoic_acid_metabolism_[PATH:ko00785]
K00161	PDHA,_pdhA;_pyruvate_dehydrogenase_E1_component_subunit_alpha_[EC:1.2.4.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00785_Lipoic_acid_metabolism_[PATH:ko00785]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04922_Glucagon_signaling_pathway_[PATH:ko04922]|05230_Central_carbon_metabolism_in_cancer_[PATH:ko05230]|05415_Diabetic_cardiomyopathy_[PATH:ko05415]
K00162	PDHB,_pdhB;_pyruvate_dehydrogenase_E1_component_subunit_beta_[EC:1.2.4.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00785_Lipoic_acid_metabolism_[PATH:ko00785]|04066_HIF-1_signaling_pathway_[PATH:ko04066]|04922_Glucagon_signaling_pathway_[PATH:ko04922]|05230_Central_carbon_metabolism_in_cancer_[PATH:ko05230]|05415_Diabetic_cardiomyopathy_[PATH:ko05415]
K00627	DLAT,_aceF,_pdhC;_pyruvate_dehydrogenase_E2_component_(dihydrolipoyllysine-residue_acetyltransferase)_[EC:2.3.1.12]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00785_Lipoic_acid_metabolism_[PATH:ko00785]
K00382	DLD,_lpd,_pdhD;_dihydrolipoyl_dehydrogenase_[EC:1.8.1.4]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00260_Glycine,_serine_and_threonine_metabolism_[PATH:ko00260]|00280_Valine,_leucine_and_isoleucine_degradation_[PATH:ko00280]|00310_Lysine_degradation_[PATH:ko00310]|00380_Tryptophan_metabolism_[PATH:ko00380]|00620_Pyruvate_metabolism_[PATH:ko00620]|00630_Glyoxylate_and_dicarboxylate_metabolism_[PATH:ko00630]|00640_Propanoate_metabolism_[PATH:ko00640]|00785_Lipoic_acid_metabolism_[PATH:ko00785]|04147_Exosome_[BR:ko04147]
K13997	PDHX;_dihydrolipoamide_dehydrogenase-binding_protein_of_pyruvate_dehydrogenase_complex	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|09113_Global_maps_only
K00169	porA;_pyruvate_ferredoxin_oxidoreductase_alpha_subunit_[EC:1.2.7.1]	00010_Glycolysis_/_Gluconeogenesis_[PATH:ko00010]|00020_Citrate_cycle_(TCA_cycle)_[PATH:ko00020]|00620_Pyruvate_metabolism_[PATH:ko00620]|00633_Nitrotoluene_degradation_[PATH:ko00633]|00640_Propanoate_metabolism_[PATH:ko00640]|00650_Butanoate_metabolism_[PATH:ko00650]|00680_Methane_metabolism_[PATH:ko00680]|00720_Carbon_fixation_pathways_in_prokaryotes_[PATH:ko00720]
